,Families,Incidence
482,CBM2+CBM63+GH5,16
483,CBM1+CE15,16
484,CBM10+CBM60+CE4+GH11,16
485,CBM6+GH141,16
486,CBM13+CBM6+GH64,16
487,CBM13+GH3,16
488,CBM32+CBM6+GH87,16
489,GH2+GH53,16
490,CBM1+CE0,16
491,CE20+GH2,16
492,GH26+GH5,15
493,CBM1+GH3,15
494,CBM13+CBM35+GH43,15
495,CBM2+GH18+GH5,15
496,CBM28+GH5,15
497,CBM9+GH50,15
498,CBM90+PL28,15
499,CBM66+GH136,15
500,GH0+GH128,15
501,CBM13+CBM5+GH18,15
502,CBM47+GT17,15
503,CBM0+CBM32,15
504,CBM32+GH18+GH27+GH28+GH29,15
505,CBM26+GH31,14
506,CBM56+CBM6+GH81,14
507,CBM10+CBM2+GH9,14
508,GH130+GT81,14
509,CBM20+CBM41+CBM48+GH13,14
510,CBM12+GH16,14
511,CBM57+GH16,14
512,CBM9+GH39,14
513,GT2+GT32+GT62,14
514,CBM13+CBM92,14
515,CBM32+GH128,14
516,CBM13+CBM35,14
517,CBM35+GH93,14
518,CBM14+GH0,14
519,CBM0+GH84,14
520,CBM50+GH55,14
521,CBM30+GH9,13
522,CBM6+CE4+GH11,13
523,CBM2+CBM35+PL10,13
524,CBM2+CE4+GH11,13
525,CBM1+PL3,13
526,CBM10+CBM2+GH6,13
527,GH0+GT2,13
528,CBM0+GH10,13
529,GT45+GT93,13
530,CBM32+GH141,13
531,CBM8+GH44,13
532,CBM32+GH2+GH20,13
533,CBM35+CBM61+GH27+GH31,13
534,GT17+GT4,13
535,CBM0+GH43,13
536,CBM0+CBM57,13
537,CBM0+GH29,13
538,GH5+PL31,12
539,CBM32+CBM4+GH16,12
540,CBM16+CBM32+PL18,12
541,CBM66+GH101,12
542,CBM9+CE0,12
543,CBM13+CBM35+GH31,12
544,CBM13+PL7,12
545,CE15+GH8,12
546,GH30+GH43,12
547,CBM3+GH10,12
548,CBM13+GH128,12
549,CBM23+CBM27+CBM54+CBM59+GH26,12
550,CBM18+CBM50,12
551,GH43+GH92,12
552,CBM13+CBM32+PL7,12
553,CBM13+PL11,12
554,CBM35+GH16,12
555,CBM6+CE20+GH43,12
556,AA15+CBM24,12
557,CBM22+CBM6+CBM91+GH43,11
558,CBM32+GH123+GH33,11
559,CBM61+GH66,11
560,GH6+GT2,11
561,CBM32+CBM6+GH128+GH16,11
562,CBM3+CBM4+GH9,11
563,AA10+CBM10,11
564,CBM2+GH10+GH62,11
565,CBM64+GH5,11
566,CBM3+CBM64+GH9,11
567,CE12+GH105,11
568,GH2+GH43,11
569,CBM11+CBM32+GH3,11
570,CBM13+GH35,11
571,CBM6+GH20,11
572,CBM25+CBM74+GH13,11
573,CBM47+GH141,11
574,AA7+CBM18,11
575,CBM12+CBM5,11
576,CBM32+CBM67+GH78,11
577,GT2+GT94,11
578,CBM0+GH39,11
579,CBM6+GH96,10
580,CBM6+CE6,10
581,CBM10+CBM2+GH45,10
582,CBM13+CBM6+GH16,10
583,CBM4+CBM6+GH16,10
584,CBM15+GH10,10
585,CBM32+CBM6+GH92,10
586,CBM9+GH87,10
587,CBM13+GH75,10
588,CBM47+CBM6+PL7,10
589,GT107+GT2,10
590,CBM4+GH0,10
591,CBM2+GH27,10
592,CBM32+GH26,10
593,CBM68+GH13,10
594,CBM32+CBM56,10
595,CBM13+CBM42,10
596,CBM51+GH36,10
597,CBM0+GH13,10
598,CBM32+GH105,10
599,GH154+GH88,10
600,CBM92+GH81,10
601,CBM0+CBM4+GH10,10
602,CBM89+GH10,10
603,CE2+GH5,9
604,CBM47+GT0,9
605,CBM56+CBM6+GH16,9
606,CBM13+CBM6+GH5,9
607,CBM48+CBM6+CE0+GH43,9
608,CBM6+CE3,9
609,CBM66+GH93,9
610,CBM32+PL31,9
611,CBM32+CBM70+PL35,9
612,GH130,9
613,CBM57+CBM6,9
614,CBM2+CE3+GH5,9
615,CBM54+GH43,9
616,GH0+GH144,9
617,CBM2+CBM22+CBM9+GH10,9
618,CE4+GT51,9
