,Families,Incidence,Num_of_fams,Num_of_catalytic_domains
2007,CE2+GH39,1,2,2
2013,CBM22+CBM9+GH10+GH30,1,4,2
2014,CBM32+GH3+GH99,1,3,2
2017,CBM32+GH101+GH29,1,3,2
2024,GT15+GT71,1,2,2
2025,GT25+GT31,1,2,2
2026,CE4+GH115,1,2,2
2027,CE0+PL1+PL9,1,3,3
2028,GT35+GT4,1,2,2
2030,PL0+PL38,1,2,2
2033,CBM2+CE12+PL11,1,3,2
2034,CBM32+CBM40+GH2+GH20+GH33,1,5,3
2037,CE19+GH28,1,2,2
2038,GH105+PL11,1,2,2
2039,GT2+GT27,1,2,2
2042,CBM5+GH43+GH51,1,3,2
2045,GH5+GH74,1,2,2
2047,CBM32+GH0+GH38,1,3,2
2049,GT71+GT8,1,2,2
2050,CBM6+GH10+GH43,1,3,2
2051,CE7+GH5,1,2,2
2053,GT32+GT6,1,2,2
2055,GT2+GT30,1,2,2
2056,GH5+GT31,1,2,2
2063,GH105+PL22,1,2,2
2067,GH18+PL7,1,2,2
2069,CBM6+GH16+GH64,1,3,2
2070,GH143+GH43,1,2,2
2083,PL0+PL7,1,2,2
2086,GT2+GT4+GT9,1,3,3
2089,CE20+GH35,1,2,2
2094,GH110+PL9,1,2,2
2096,GH2+GH78,1,2,2
2097,CBM66+GH106+GH43,1,3,2
2098,CBM6+GH43+GH97,1,3,2
2101,CBM16+CBM32+GH136+GH59,1,4,2
2102,CBM13+CBM32+GH110+GH95,1,4,2
2104,CBM32+GH30+GH43,1,3,2
2109,CBM91+GH30+GH43,1,3,2
2112,CE8+GH5,1,2,2
2114,GH104+GH24,1,2,2
2116,GT11+GT92,1,2,2
2118,GH133+GH78,1,2,2
2121,GH136+GH29,1,2,2
2122,CE3+GH0,1,2,2
2128,CBM0+GH136+GH29,1,3,2
2133,GH110+GH95,1,2,2
2134,GH24+GH73,1,2,2
2135,AA15+CBM1+GH45,1,3,2
2137,GT25+GT45,1,2,2
2139,GH47+PL26,1,2,2
2140,CBM24+GH18+GH71,1,3,2
2141,AA14+CE0,1,2,2
2142,GH78+GT1,1,2,2
2143,GH27+GH88,1,2,2
2144,CBM18+CE4+GH28,1,3,2
2145,GH17+GT48,1,2,2
2152,GH121+GH142,1,2,2
2154,GT0+GT14,1,2,2
2158,GH135+GH26,1,2,2
2159,GH26+GH9,1,2,2
2160,GH114+GH9,1,2,2
2164,GH0+GH166,1,2,2
2165,AA9+GH47,1,2,2
2166,GH13+GH5+GT5,1,3,3
2167,CBM35+GH43+PL3,1,3,2
2169,CE12+GH115,1,2,2
2175,CBM0+GH106+GH78,1,3,2
2176,CBM67+GH106+GH78,1,3,2
2177,GT32+GT8,1,2,2
2178,CE20+GH43,1,2,2
2179,GH0+GH46,1,2,2
2181,CBM91+GH43+GH51,1,3,2
2185,CBM2+CBM32+GH12+GH26,1,4,2
2197,CE2+GH18,1,2,2
2198,GT4+GT56,1,2,2
2199,GT0+GT29,1,2,2
2200,PL32+PL36,1,2,2
2201,GH5+GH92,1,2,2
2202,GH5+GH88,1,2,2
2203,GH105+GH43,1,2,2
2206,GH19+GH20,1,2,2
2209,GH43+GT64,1,2,2
2210,GH20+GH39,1,2,2
2211,GH135+GH16,1,2,2
2213,GT1+GT4,1,2,2
2215,GH154+PL42,1,2,2
